month,rank,symbol,base_asset,median_volume_30d,avg_volume_30d,volume_samples
Jun-21,1,ETHUSDT,ETH,4371567052,4928679255,30
Jun-21,2,BTCUSDT,BTC,4339385071,5113474878,30
Jun-21,3,DOGEUSDT,DOGE,2581757761,3707610464,30
Jun-21,4,BNBUSDT,BNB,1699975251,1915509471,30
Jun-21,5,XRPUSDT,XRP,1445527281,1618953305,30
Jun-21,6,ADAUSDT,ADA,1260531918,1504482293,30
Jun-21,7,ETCUSDT,ETC,711064681.4,1113319616,30
Jun-21,8,LTCUSDT,LTC,529292042.6,645636653.5,30
Jun-21,9,LINKUSDT,LINK,435739034.9,457649937,30
Jun-21,10,VETUSDT,VET,375211297.7,434311888.1,30
Jun-21,11,BCHUSDT,BCH,342026207.8,438989959.3,30
Jun-21,12,TRXUSDT,TRX,288784712.7,328527748.8,30
Jun-21,13,EURUSDT,EUR,246372329.4,253354347.9,30
Jun-21,14,XLMUSDT,XLM,212543662.2,281754146.6,30
Jun-21,15,THETAUSDT,THETA,186812260.9,190686475.7,30
Jun-21,16,CHZUSDT,CHZ,173608245,189142708.8,30
Jun-21,17,NEOUSDT,NEO,143024118.6,150879424.6,30
Jun-21,18,ZECUSDT,ZEC,122336265,138378096.3,30
Jun-21,19,ATOMUSDT,ATOM,91050927.94,102319289,30
Jun-21,20,ENJUSDT,ENJ,62037903.45,75514619.57,30
Jun-21,21,IOTAUSDT,IOTA,54887817.11,64965362.07,30
Jun-21,22,HBARUSDT,HBAR,50047925.35,76798323.12,30
Jun-21,23,ALGOUSDT,ALGO,49910014.13,51035086.76,30
Jun-21,24,KAVAUSDT,KAVA,39676505.69,41910691.57,30
Jun-21,25,TFUELUSDT,TFUEL,29935385.77,32919622.53,30
Jun-21,26,ICXUSDT,ICX,27885054.59,31694716.95,30
Jun-21,27,FTTUSDT,FTT,25771613.48,26297278.56,30
Jun-21,28,FETUSDT,FET,17319536.27,21332452.9,30
Jun-21,29,ZRXUSDT,ZRX,15938602.45,20151927.21,30
Jun-21,30,IOTXUSDT,IOTX,12451424.05,13932033.14,30
Jun-21,31,STXUSDT,STX,9591981.513,10224553.4,30
Jun-21,32,FUNUSDT,FUN,6309909.056,17349049.56,30
Jul-21,1,BTCUSDT,BTC,3204485840,3397279619,30
Jul-21,2,ETHUSDT,ETH,1805885007,2089241647,30
Jul-21,3,BNBUSDT,BNB,726360683.9,899222356.8,30
Jul-21,4,DOGEUSDT,DOGE,498600906.6,804716890,30
Jul-21,5,ADAUSDT,ADA,485195512.3,517138648.1,30
Jul-21,6,XRPUSDT,XRP,422434804.9,484245529.8,30
Jul-21,7,LINKUSDT,LINK,182736770.9,189186582.6,30
Jul-21,8,VETUSDT,VET,162484270.3,193159431,30
Jul-21,9,TFUELUSDT,TFUEL,131830825.1,135861399.3,30
Jul-21,10,LTCUSDT,LTC,128436029.9,136033926.3,30
Jul-21,11,THETAUSDT,THETA,125603549.4,155593364.8,30
Jul-21,12,ETCUSDT,ETC,109336055.2,140223907.3,30
Jul-21,13,EURUSDT,EUR,98711659.45,105202430.5,30
Jul-21,14,CHZUSDT,CHZ,91271304.7,143928051.5,30
Jul-21,15,TRXUSDT,TRX,81932044.52,89075335.47,30
Jul-21,16,BCHUSDT,BCH,59569963.41,68505028.35,30
Jul-21,17,XLMUSDT,XLM,46685396.09,51420332.89,30
Jul-21,18,NEOUSDT,NEO,34504840.43,40319608.29,30
Jul-21,19,ENJUSDT,ENJ,31343361.73,33028867.62,30
Jul-21,20,ZECUSDT,ZEC,29533083.69,34472882.97,30
Jul-21,21,ATOMUSDT,ATOM,28602928.1,31553518.45,30
Jul-21,22,KAVAUSDT,KAVA,25875047.05,41429299.52,30
Jul-21,23,ALGOUSDT,ALGO,20946958.85,24616229.3,30
Jul-21,24,HBARUSDT,HBAR,20766939.83,22765198.64,30
Jul-21,25,IOTAUSDT,IOTA,17049750.09,22087637.69,30
Jul-21,26,COMPUSDT,COMP,13835092.11,17233163.96,30
Jul-21,27,FETUSDT,FET,13345287.67,13838737.07,30
Jul-21,28,FTTUSDT,FTT,10558388.75,11168603.91,30
Jul-21,29,ICXUSDT,ICX,10537618.7,12160118.62,30
Jul-21,30,ZRXUSDT,ZRX,4760817.898,6208950.069,30
Jul-21,31,STXUSDT,STX,4669112.551,4809221.942,30
Jul-21,32,IOTXUSDT,IOTX,4456887.25,6996364.418,30
Jul-21,33,LRCUSDT,LRC,4261357.129,7565236.488,30
Jul-21,34,FUNUSDT,FUN,2258629.979,3655835.347,30
Aug-21,1,BTCUSDT,BTC,1639441278,1991168023,30
Aug-21,2,ETHUSDT,ETH,1363285966,1479114095,30
Aug-21,3,BNBUSDT,BNB,423936170.6,431765851.7,30
Aug-21,4,DOGEUSDT,DOGE,248837860.3,305767697.9,30
Aug-21,5,XRPUSDT,XRP,221411484.9,259416915.8,30
Aug-21,6,ADAUSDT,ADA,188964879.2,215234578.3,30
Aug-21,7,ETCUSDT,ETC,93232623.67,97118070.48,30
Aug-21,8,LINKUSDT,LINK,90969516.69,114191633.5,30
Aug-21,9,THETAUSDT,THETA,88763782.02,103668348.4,30
Aug-21,10,LTCUSDT,LTC,66511075.61,69075457.08,30
Aug-21,11,VETUSDT,VET,56342968.1,66611159.5,30
Aug-21,12,EURUSDT,EUR,56282747.04,59492342.6,30
Aug-21,13,CHZUSDT,CHZ,47469742.85,63071283.56,30
Aug-21,14,BCHUSDT,BCH,41346553.87,46265148.71,30
Aug-21,15,TRXUSDT,TRX,40084222.2,44595970.92,30
Aug-21,16,ENJUSDT,ENJ,38668784.76,45011528.41,30
Aug-21,17,COMPUSDT,COMP,32781088.88,42316871.97,30
Aug-21,18,ATOMUSDT,ATOM,31631382.1,35509418.74,30
Aug-21,19,XLMUSDT,XLM,26779356.49,31942541.27,30
Aug-21,20,TFUELUSDT,TFUEL,25544532.47,28887942.07,30
Aug-21,21,ZECUSDT,ZEC,21444614.22,22255482.33,30
Aug-21,22,KAVAUSDT,KAVA,20773915.52,33560076.15,30
Aug-21,23,NEOUSDT,NEO,18298197.7,27824661.59,30
Aug-21,24,FETUSDT,FET,11725028.22,13997391.52,30
Aug-21,25,FTTUSDT,FTT,11584336.67,19689708.34,30
Aug-21,26,ALGOUSDT,ALGO,10773823.43,11310288.88,30
Aug-21,27,IOTAUSDT,IOTA,10359523.1,11548722.64,30
Aug-21,28,HBARUSDT,HBAR,9890228.538,12973905.32,30
